actor,degree,betweenness,eigenvector,closeness,pagerank
Kathir,0.022222222222222223,0.0,0.0001328252214251743,0.130586186883343,0.0035019262363467606
Meera Nair,0.022222222222222223,0.0,0.0001328252214251743,0.130586186883343,0.0035019262363467606
Vedh,0.022222222222222223,0.0,0.020055534516987144,0.20035618878005343,0.0032573788452401587
Raj Bharath,0.022222222222222223,0.0,0.00013282522142517433,0.130586186883343,0.0035019262363467606
Anoop Revanna,0.022222222222222223,3.3068783068783066e-06,0.009427583207189696,0.18564356435643564,0.00305709773760906
Irfan,0.022222222222222223,3.3068783068783066e-06,0.009427583207189696,0.18564356435643564,0.00305709773760906
Bharat Raj,0.022222222222222223,0.0,0.0001328252214251743,0.130586186883343,0.0035019262363467606
Tharanga Vishwa,0.022222222222222223,3.3068783068783066e-06,0.009427583207189696,0.18564356435643564,0.00305709773760906
Ritiksha,0.022222222222222223,3.3068783068783066e-06,0.009427583207189696,0.18564356435643564,0.00305709773760906
Riythvika Panneerselvam,0.022222222222222223,0.0,0.0001328252214251743,0.130586186883343,0.0035019262363467606
Sujith Koyickal,0.022222222222222223,0.0,0.020055534516987144,0.20035618878005343,0.0032573788452401587
Balaji Venugopal,0.017777777777777778,0.0,0.00011567190879416054,0.13043478260869565,0.0031279038070010094
Soodhu Kavvum Sivakumar,0.017777777777777778,0.0,0.00011567190879416054,0.13043478260869565,0.0031279038070010094
Thaman Kumar,0.017777777777777778,0.0,0.00011567190879416054,0.13043478260869565,0.0031279038070010094
Vincent Ashokan,0.017777777777777778,0.0,0.00011567190879416054,0.13043478260869565,0.0031279038070010094
